ws_diff,ws_diff_bin,steps_diff
-8.0,"(-16, 16]",3122.375255550329
-8.0,"(-16, 16]",901.0
-8.0,"(-16, 16]",3506.0746963516663
-8.0,"(-16, 16]",-224.88461538461524
-8.0,"(-16, 16]",-1798.630434782609
-8.0,"(-16, 16]",10452.06784165842
-8.0,"(-16, 16]",928.7619047619057
-8.0,"(-16, 16]",243.69047619047612
-8.0,"(-16, 16]",-1495.457853838454
-8.0,"(-16, 16]",615.416666666667
-8.0,"(-16, 16]",-1877.5
-8.0,"(-16, 16]",2185.0829744585435
-8.0,"(-16, 16]",1976.6053817795998
-8.0,"(-16, 16]",-2683.175
-8.0,"(-16, 16]",2948.396679619962
-8.0,"(-16, 16]",78.80830039525699
-8.0,"(-16, 16]",-699.3000000000003
-8.0,"(-16, 16]",-730.3200000000003
-8.0,"(-16, 16]",1045.335968379447
-8.0,"(-16, 16]",1271.9001396976528
-8.0,"(-16, 16]",-2334.938461538461
-8.0,"(-16, 16]",-784.666666666667
-8.0,"(-16, 16]",-889.4923076923077
-7.0,"(-16, 16]",-3512.2695312443957
-7.0,"(-16, 16]",-1114.2545454545457
-7.0,"(-16, 16]",-2.75
-7.0,"(-16, 16]",-2485.222961422832
-7.0,"(-16, 16]",-2695.333333333333
-7.0,"(-16, 16]",1362.72
-7.0,"(-16, 16]",7951.538461538462
-7.0,"(-16, 16]",536.0
-7.0,"(-16, 16]",7910.369565217393
-7.0,"(-16, 16]",3451.9753846153853
-7.0,"(-16, 16]",1482.3266666666668
-7.0,"(-16, 16]",-1027.5248674638106
-7.0,"(-16, 16]",627.5
-7.0,"(-16, 16]",-523.5797441039995
-7.0,"(-16, 16]",-520.3647033612178
-7.0,"(-16, 16]",4.201907730429412
-7.0,"(-16, 16]",1114.992424242424
-6.0,"(-16, 16]",1380.9586239703688
-6.0,"(-16, 16]",-506.2000000000001
-6.0,"(-16, 16]",-2919.1519471161537
-6.0,"(-16, 16]",1844.2585328269568
-6.0,"(-16, 16]",-6650.428571428572
-6.0,"(-16, 16]",-6842.791666666666
-6.0,"(-16, 16]",-6779.150299082532
-6.0,"(-16, 16]",-1803.4685714285715
-6.0,"(-16, 16]",-10563.601769323242
-6.0,"(-16, 16]",909.8571428571428
-6.0,"(-16, 16]",2721.3809523809523
-6.0,"(-16, 16]",2856.0064817953075
-6.0,"(-16, 16]",-1093.6
-6.0,"(-16, 16]",1486.4090043304784
-6.0,"(-16, 16]",-873.125
-6.0,"(-16, 16]",-1406.388888888889
-6.0,"(-16, 16]",-2088.610631660346
-6.0,"(-16, 16]",3696.923816075031
-6.0,"(-16, 16]",-306.0513833992095
-6.0,"(-16, 16]",-2482.3088512072377
-6.0,"(-16, 16]",4893.634615384615
-6.0,"(-16, 16]",2442.230769230769
-6.0,"(-16, 16]",183.78571428571428
-5.0,"(-16, 16]",-1093.554347826087
-5.0,"(-16, 16]",554.5
-5.0,"(-16, 16]",-140.2830769230768
-5.0,"(-16, 16]",5812.012820512821
-5.0,"(-16, 16]",4406.8
-5.0,"(-16, 16]",-3312.4466543251274
-5.0,"(-16, 16]",5564.684210526316
-5.0,"(-16, 16]",3705.117983469546
-5.0,"(-16, 16]",2856.0144230769233
-5.0,"(-16, 16]",-482.5461538461541
-5.0,"(-16, 16]",-9650.795031055899
-5.0,"(-16, 16]",362.3032581453635
-5.0,"(-16, 16]",-1172.142857142857
-5.0,"(-16, 16]",-1822.469090909091
-5.0,"(-16, 16]",-1243.0277777777776
-5.0,"(-16, 16]",-1186.781376518219
-5.0,"(-16, 16]",-1690.1954797041876
-5.0,"(-16, 16]",-8221.3
-5.0,"(-16, 16]",-1615.6830135888622
-5.0,"(-16, 16]",-37.53834916446522
-5.0,"(-16, 16]",470.5535714285716
-5.0,"(-16, 16]",649.2046153846168
-5.0,"(-16, 16]",-10555.434285714286
-5.0,"(-16, 16]",7420.4
-5.0,"(-16, 16]",-327.66666666666674
-4.0,"(-16, 16]",2033.9330377517454
-4.0,"(-16, 16]",260.3936760351794
-4.0,"(-16, 16]",-1925.489130434783
-4.0,"(-16, 16]",-4700.045454545454
-4.0,"(-16, 16]",-2696.853333333333
-4.0,"(-16, 16]",1727.666666666666
-4.0,"(-16, 16]",-11757.226301551631
-4.0,"(-16, 16]",1176.0
-4.0,"(-16, 16]",4257.322222222223
-4.0,"(-16, 16]",-1007.0647829312912
-4.0,"(-16, 16]",-560.7399999999999
-4.0,"(-16, 16]",973.5230769230769
-4.0,"(-16, 16]",331.4705882352941
-4.0,"(-16, 16]",-87.40652173913031
-4.0,"(-16, 16]",-827.9823529411765
-4.0,"(-16, 16]",-5121.301725297393
-4.0,"(-16, 16]",8173.18724061675
-4.0,"(-16, 16]",1170.1999999999996
-4.0,"(-16, 16]",2908.615362058028
-4.0,"(-16, 16]",-2756.6557485646003
-3.0,"(-16, 16]",2182.69629977944
-3.0,"(-16, 16]",1752.8076923076926
-3.0,"(-16, 16]",6609.447692307692
-3.0,"(-16, 16]",1147.6153846153848
-3.0,"(-16, 16]",1147.304347826087
-3.0,"(-16, 16]",-4538.26
-3.0,"(-16, 16]",-198.20880839629672
-3.0,"(-16, 16]",-1199.142857142857
-3.0,"(-16, 16]",-600.3876923076923
-3.0,"(-16, 16]",483.4419725792464
-3.0,"(-16, 16]",1528.6605351170565
-3.0,"(-16, 16]",-1476.2403846153848
-3.0,"(-16, 16]",1306.6547236366105
-3.0,"(-16, 16]",-3908.866309486024
-3.0,"(-16, 16]",1454.851148398799
-3.0,"(-16, 16]",1299.4887884050222
-3.0,"(-16, 16]",-3118.956497194625
-3.0,"(-16, 16]",578.416666666667
-3.0,"(-16, 16]",-476.375
-3.0,"(-16, 16]",675.105263157895
-3.0,"(-16, 16]",306.3076923076915
-3.0,"(-16, 16]",2791.3061538461548
-3.0,"(-16, 16]",1105.6309523809523
-3.0,"(-16, 16]",-1524.6499999999994
-3.0,"(-16, 16]",-8429.214285714283
-3.0,"(-16, 16]",-676.833333333333
-3.0,"(-16, 16]",-792.24
-3.0,"(-16, 16]",-3504.9219047619044
-3.0,"(-16, 16]",-10567.87
-3.0,"(-16, 16]",-604.1562565124677
-3.0,"(-16, 16]",3.3220920323992686
-2.0,"(-16, 16]",3603.338235294118
-2.0,"(-16, 16]",-2436.514285714285
-2.0,"(-16, 16]",4813.0
-2.0,"(-16, 16]",-885.6261538461549
-2.0,"(-16, 16]",5022.986545329633
-2.0,"(-16, 16]",-1163.1610478784735
-2.0,"(-16, 16]",-528.333333333333
-2.0,"(-16, 16]",56.43377594509547
-2.0,"(-16, 16]",-521.5
-2.0,"(-16, 16]",617.7179487179487
-2.0,"(-16, 16]",-183.46952828175014
-2.0,"(-16, 16]",-2424.113636363636
-2.0,"(-16, 16]",799.0163043478259
-2.0,"(-16, 16]",453.3
-2.0,"(-16, 16]",-1730.5
-2.0,"(-16, 16]",-357.50923076923027
-2.0,"(-16, 16]",2499.493055555556
-2.0,"(-16, 16]",-3215.7513043478266
-2.0,"(-16, 16]",-1799.909090909091
-2.0,"(-16, 16]",1076.3200000000004
-2.0,"(-16, 16]",-1259.9220135031535
-2.0,"(-16, 16]",4854.25
-2.0,"(-16, 16]",385.47158202999884
-2.0,"(-16, 16]",3210.5
-2.0,"(-16, 16]",2813.277777777777
-2.0,"(-16, 16]",-3873.941176470588
-1.0,"(-16, 16]",-1011.7965217391303
-1.0,"(-16, 16]",26.5454545454545
-1.0,"(-16, 16]",3030.4040050673657
-1.0,"(-16, 16]",-5351.166666666667
-1.0,"(-16, 16]",-1386.0
-1.0,"(-16, 16]",-85.8249999999998
-1.0,"(-16, 16]",-9482.68
-1.0,"(-16, 16]",-6570.423076923077
-1.0,"(-16, 16]",154.39285714285708
-1.0,"(-16, 16]",122.45454545454595
-1.0,"(-16, 16]",340.88235294117663
-1.0,"(-16, 16]",-580.8875459942974
-1.0,"(-16, 16]",4080.6984615384613
-1.0,"(-16, 16]",-1043.0
-1.0,"(-16, 16]",1647.5279425073995
-1.0,"(-16, 16]",-3323.277777777777
