diff_t1k_minc,diff_t1k_minc_bin,ws_diff,ws_diff_bin,steps_diff
-25154.44140625,"[-inf, -6250)",-42.0,"(-48, -16]",-450.4727272727273
-25154.44140625,"[-inf, -6250)",-42.0,"(-48, -16]",-532.3861538461538
-24916.265625,"[-inf, -6250)",-42.0,"(-48, -16]",-47.480000000000466
-24916.265625,"[-inf, -6250)",-42.0,"(-48, -16]",3898.313725490196
-20598.9296875,"[-inf, -6250)",-42.0,"(-48, -16]",-5571.618397136248
-19214.109375,"[-inf, -6250)",-42.0,"(-48, -16]",1922.161822520733
-16582.75390625,"[-inf, -6250)",-42.0,"(-48, -16]",-112.60000000000036
-16582.75390625,"[-inf, -6250)",-42.0,"(-48, -16]",-2682.666666666667
-15341.1171875,"[-inf, -6250)",-42.0,"(-48, -16]",-2214.461538461538
-15341.1171875,"[-inf, -6250)",-42.0,"(-48, -16]",5395.772727272727
-11613.375,"[-inf, -6250)",-42.0,"(-48, -16]",-4351.359999999999
-7147.1875,"[-inf, -6250)",-42.0,"(-48, -16]",-242.85314685314685
-7147.1875,"[-inf, -6250)",-42.0,"(-48, -16]",-2522.5649350649355
-6071.1875,"[-6250, 6954)",-42.0,"(-48, -16]",458.20787165775033
-4389.46875,"[-6250, 6954)",-42.0,"(-48, -16]",-2250.9110877945154
-3998.10546875,"[-6250, 6954)",-42.0,"(-48, -16]",-4081.590909090909
-3949.77734375,"[-6250, 6954)",-42.0,"(-48, -16]",4892.076923076924
536.37109375,"[-6250, 6954)",-42.0,"(-48, -16]",416.4953846153849
938.8203125,"[-6250, 6954)",-42.0,"(-48, -16]",1025.9366230700523
1413.17578125,"[-6250, 6954)",-42.0,"(-48, -16]",-5393.608134425921
1540.16015625,"[-6250, 6954)",-42.0,"(-48, -16]",-3546.8418574060747
1775.3203125,"[-6250, 6954)",-42.0,"(-48, -16]",-1029.725
1775.3203125,"[-6250, 6954)",-42.0,"(-48, -16]",-3603.5
1951.6171875,"[-6250, 6954)",-42.0,"(-48, -16]",-1651.2447552447547
4003.48046875,"[-6250, 6954)",-42.0,"(-48, -16]",-10384.97619047619
8584.8125,"[6954, inf)",-42.0,"(-48, -16]",-322.1208845222018
12735.44140625,"[6954, inf)",-42.0,"(-48, -16]",-1302.184523809523
15227.25,"[6954, inf)",-42.0,"(-48, -16]",992.413333333333
20605.48828125,"[6954, inf)",-42.0,"(-48, -16]",783.0166666666669
28568.98828125,"[6954, inf)",-42.0,"(-48, -16]",-2285.5333333333333
30986.51953125,"[6954, inf)",-42.0,"(-48, -16]",-4437.953716771937
,,-42.0,"(-48, -16]",3491.039507184357
-50858.98828125,"[-inf, -6250)",-41.0,"(-48, -16]",-2939.315293182175
-41331.00390625,"[-inf, -6250)",-41.0,"(-48, -16]",1117.1071765507434
-36399.09765625,"[-inf, -6250)",-41.0,"(-48, -16]",-246.55681818181802
-23989.88671875,"[-inf, -6250)",-41.0,"(-48, -16]",-1514.811594202898
-18368.59375,"[-inf, -6250)",-41.0,"(-48, -16]",930.5369230769228
-16623.65625,"[-inf, -6250)",-41.0,"(-48, -16]",-1575.5387115470835
-16519.09765625,"[-inf, -6250)",-41.0,"(-48, -16]",2929.479166666666
-15885.546875,"[-inf, -6250)",-41.0,"(-48, -16]",-958.7666666666668
-15885.546875,"[-inf, -6250)",-41.0,"(-48, -16]",39.74561403508778
-15885.546875,"[-inf, -6250)",-41.0,"(-48, -16]",-3711.993657565601
-15885.546875,"[-inf, -6250)",-41.0,"(-48, -16]",3388.9192397196807
-15885.546875,"[-inf, -6250)",-41.0,"(-48, -16]",-3425.2628205128212
-15885.546875,"[-inf, -6250)",-41.0,"(-48, -16]",-1421.0261427734345
-15506.8828125,"[-inf, -6250)",-41.0,"(-48, -16]",-2370.1363636363635
-13649.9765625,"[-inf, -6250)",-41.0,"(-48, -16]",147.67999999999938
