ws_diff,ws_diff_bin,steps_diff
-44.0,"(-48, -16]",-3770.482517482518
-44.0,"(-48, -16]",1887.6666666666665
-44.0,"(-48, -16]",-176.5034965034965
-44.0,"(-48, -16]",1349.04
-44.0,"(-48, -16]",3303.537595647981
-44.0,"(-48, -16]",-531.4119873029003
-44.0,"(-48, -16]",1888.2796074423925
-44.0,"(-48, -16]",-1552.9333333333334
-44.0,"(-48, -16]",-2915.015000000001
-44.0,"(-48, -16]",-841.0630473060005
-43.0,"(-48, -16]",-1099.4035087719303
-43.0,"(-48, -16]",1091.0516575615493
-43.0,"(-48, -16]",-2155.474578415859
-43.0,"(-48, -16]",984.3273809523816
-43.0,"(-48, -16]",-805.7238095238098
-43.0,"(-48, -16]",-3053.48
-43.0,"(-48, -16]",-1785.2694194907392
-43.0,"(-48, -16]",-326.2179487179492
-43.0,"(-48, -16]",-594.6421767415868
-43.0,"(-48, -16]",2508.190476190476
-43.0,"(-48, -16]",-1542.3571428571433
-43.0,"(-48, -16]",-3147.0489510489515
-43.0,"(-48, -16]",4266.466403162056
-43.0,"(-48, -16]",-416.1338461538453
-43.0,"(-48, -16]",2092.116929869293
-43.0,"(-48, -16]",3995.8797857780382
-43.0,"(-48, -16]",-3830.308537945713
-43.0,"(-48, -16]",2265.0714285714284
-43.0,"(-48, -16]",744.9107142857147
-43.0,"(-48, -16]",878.0927415185861
-43.0,"(-48, -16]",-511.95111111111146
-42.0,"(-48, -16]",-5393.608134425921
-42.0,"(-48, -16]",783.0166666666669
-42.0,"(-48, -16]",-2250.9110877945154
-42.0,"(-48, -16]",-4351.359999999999
-42.0,"(-48, -16]",-2682.666666666667
-42.0,"(-48, -16]",-2522.5649350649355
-42.0,"(-48, -16]",-4081.590909090909
-42.0,"(-48, -16]",-3546.8418574060747
-42.0,"(-48, -16]",-5571.618397136248
-42.0,"(-48, -16]",458.20787165775033
-42.0,"(-48, -16]",-10384.97619047619
-42.0,"(-48, -16]",-47.480000000000466
-42.0,"(-48, -16]",3491.039507184357
-42.0,"(-48, -16]",3898.313725490196
-42.0,"(-48, -16]",4892.076923076924
-42.0,"(-48, -16]",-3603.5
-42.0,"(-48, -16]",992.413333333333
-42.0,"(-48, -16]",1025.9366230700523
-42.0,"(-48, -16]",416.4953846153849
-42.0,"(-48, -16]",-242.85314685314685
-42.0,"(-48, -16]",-2285.5333333333333
-42.0,"(-48, -16]",-450.4727272727273
-42.0,"(-48, -16]",-1302.184523809523
-42.0,"(-48, -16]",-532.3861538461538
-42.0,"(-48, -16]",-3668.4292307692303
-42.0,"(-48, -16]",-322.1208845222018
-42.0,"(-48, -16]",-1029.725
-42.0,"(-48, -16]",-1651.2447552447547
-42.0,"(-48, -16]",-4437.953716771937
-42.0,"(-48, -16]",-112.60000000000036
-42.0,"(-48, -16]",-2693.8125
-42.0,"(-48, -16]",-2826.636363636364
-42.0,"(-48, -16]",1922.161822520733
-42.0,"(-48, -16]",-635.4770351202496
-42.0,"(-48, -16]",-2214.461538461538
-42.0,"(-48, -16]",5395.772727272727
-42.0,"(-48, -16]",3094.5600000000004
-41.0,"(-48, -16]",-1089.2415384615397
-41.0,"(-48, -16]",-434.72727272727246
-41.0,"(-48, -16]",1117.1071765507434
-41.0,"(-48, -16]",2412.653985507246
-41.0,"(-48, -16]",-2097.817318427884
-41.0,"(-48, -16]",-1785.5358438230694
-41.0,"(-48, -16]",561.590909090909
-41.0,"(-48, -16]",-2370.1363636363635
-41.0,"(-48, -16]",-3711.993657565601
-41.0,"(-48, -16]",2013.9023391735
-41.0,"(-48, -16]",-1421.0261427734345
-41.0,"(-48, -16]",-2939.315293182175
-41.0,"(-48, -16]",24.88963210702423
-41.0,"(-48, -16]",1918.1462361382276
-41.0,"(-48, -16]",503.62745098039164
-41.0,"(-48, -16]",-246.55681818181802
-41.0,"(-48, -16]",1995.7777777777771
-41.0,"(-48, -16]",-1378.79
-41.0,"(-48, -16]",-1825.4
-41.0,"(-48, -16]",2929.479166666666
-41.0,"(-48, -16]",794.090909090909
-41.0,"(-48, -16]",-958.7666666666668
-41.0,"(-48, -16]",-1575.5387115470835
-41.0,"(-48, -16]",930.5369230769228
-41.0,"(-48, -16]",-549.9898989898988
-41.0,"(-48, -16]",991.7357859531777
-41.0,"(-48, -16]",-9488.583333333332
-41.0,"(-48, -16]",147.67999999999938
-41.0,"(-48, -16]",2840.08923076923
-41.0,"(-48, -16]",523.353260869565
-41.0,"(-48, -16]",-159.95192307692287
-41.0,"(-48, -16]",3388.9192397196807
-41.0,"(-48, -16]",-3425.2628205128212
-41.0,"(-48, -16]",-1514.811594202898
-41.0,"(-48, -16]",-1445.514854955096
-41.0,"(-48, -16]",39.74561403508778
-40.0,"(-48, -16]",-783.5
-40.0,"(-48, -16]",-2068.4871794871788
-40.0,"(-48, -16]",856.2756959859398
-40.0,"(-48, -16]",-658.1904761904769
-40.0,"(-48, -16]",-3261.6822701361884
-40.0,"(-48, -16]",377.04545883933366
-40.0,"(-48, -16]",428.4261538461542
-40.0,"(-48, -16]",731.8661383138177
-40.0,"(-48, -16]",296.3397435897432
-40.0,"(-48, -16]",-2692.090909090909
-40.0,"(-48, -16]",87.25333333333309
-40.0,"(-48, -16]",-686.9047619047619
-40.0,"(-48, -16]",-5017.4358974358975
-40.0,"(-48, -16]",-620.5020169075124
-40.0,"(-48, -16]",535.4848484848485
-40.0,"(-48, -16]",867.7692307692305
-40.0,"(-48, -16]",-1228.0
-40.0,"(-48, -16]",-593.5826086956522
-40.0,"(-48, -16]",-600.7580205740907
-40.0,"(-48, -16]",3008.4411764705883
-40.0,"(-48, -16]",-500.6020491571094
-40.0,"(-48, -16]",-883.7738571170457
-40.0,"(-48, -16]",-274.38678817826667
-40.0,"(-48, -16]",-2214.722222222222
-40.0,"(-48, -16]",855.375
-40.0,"(-48, -16]",-1624.0323076923078
-40.0,"(-48, -16]",841.7733333333334
-40.0,"(-48, -16]",2118.5714285714284
-40.0,"(-48, -16]",2148.2914487151584
-40.0,"(-48, -16]",-1142.471428571428
-39.0,"(-48, -16]",4221.124615384615
