steps_diff,ws_diff,ws_diff_bin,Move Season
-678.8407717857554,-39.0,"(-48, -16]",Summer
423.6570512820512,-39.0,"(-48, -16]",Spring
47.0,-39.0,"(-48, -16]",Summer
-3083.001666666666,-39.0,"(-48, -16]",Fall
-2129.7993311036803,-39.0,"(-48, -16]",Summer
2577.305555555557,-39.0,"(-48, -16]",Summer
353.319327731092,-39.0,"(-48, -16]",Winter
1474.1046153846155,-39.0,"(-48, -16]",Winter
-2869.490100096634,-39.0,"(-48, -16]",Winter
-3660.0015384615385,-39.0,"(-48, -16]",Fall
2041.2634271099741,-39.0,"(-48, -16]",Summer
4698.869230769231,-39.0,"(-48, -16]",Winter
1106.5,-39.0,"(-48, -16]",Fall
-2351.25,-39.0,"(-48, -16]",Winter
-3038.6204545568635,-38.0,"(-48, -16]",Fall
694.205128205129,-38.0,"(-48, -16]",Spring
1059.9,-38.0,"(-48, -16]",Fall
5286.0,-38.0,"(-48, -16]",Spring
-1308.2777777777776,-38.0,"(-48, -16]",Summer
-370.73913043478206,-38.0,"(-48, -16]",Winter
34.74434782608705,-38.0,"(-48, -16]",Winter
-731.0819397993318,-38.0,"(-48, -16]",Fall
-1521.7743271221536,-38.0,"(-48, -16]",Spring
1754.75,-38.0,"(-48, -16]",Winter
5545.916666666666,-38.0,"(-48, -16]",Summer
-3575.1141967680833,-38.0,"(-48, -16]",Fall
-1981.0,-38.0,"(-48, -16]",Fall
-4519.381050748769,-38.0,"(-48, -16]",Summer
484.81360659764323,-38.0,"(-48, -16]",Fall
-279.8833333333332,-38.0,"(-48, -16]",Summer
2181.4710500710003,-38.0,"(-48, -16]",Spring
-3207.9230769230767,-38.0,"(-48, -16]",Spring
-536.8431023493335,-38.0,"(-48, -16]",Summer
579.7272727272725,-38.0,"(-48, -16]",Summer
-4691.6,-38.0,"(-48, -16]",Summer
-2618.75,-38.0,"(-48, -16]",Fall
-2986.393152526029,-38.0,"(-48, -16]",Spring
-8167.015151515153,-38.0,"(-48, -16]",Summer
-923.0333333333333,-38.0,"(-48, -16]",Spring
792.704710144928,-38.0,"(-48, -16]",Spring
-37.067307692307615,-38.0,"(-48, -16]",Fall
-307.969696969697,-38.0,"(-48, -16]",Summer
-1673.003105590063,-38.0,"(-48, -16]",Summer
-3190.7762418816474,-37.0,"(-48, -16]",Winter
3015.754782608696,-37.0,"(-48, -16]",Spring
-55.84414209600004,-37.0,"(-48, -16]",Spring
-265.27472527472537,-37.0,"(-48, -16]",Fall
213.50956937799043,-37.0,"(-48, -16]",Fall
4405.641538461538,-37.0,"(-48, -16]",Spring
5774.181666666666,-37.0,"(-48, -16]",Fall
-1422.671175732185,-37.0,"(-48, -16]",Summer
1154.0512820512822,-37.0,"(-48, -16]",Winter
-3627.8314285714287,-37.0,"(-48, -16]",Fall
-6776.0666666666675,-37.0,"(-48, -16]",Winter
-1019.2338029632609,-37.0,"(-48, -16]",Fall
42.30153846153871,-37.0,"(-48, -16]",Summer
1471.4122807017545,-37.0,"(-48, -16]",Summer
134.27272727272702,-37.0,"(-48, -16]",Summer
-1601.9588122201294,-37.0,"(-48, -16]",Fall
-3776.648175603882,-37.0,"(-48, -16]",Fall
22157.66666666667,-37.0,"(-48, -16]",Summer
-482.06547619047615,-37.0,"(-48, -16]",Summer
-3230.727495425516,-37.0,"(-48, -16]",Spring
789.1027445131723,-37.0,"(-48, -16]",Winter
-2327.692307692308,-37.0,"(-48, -16]",Fall
-5511.000548287157,-37.0,"(-48, -16]",Fall
-744.6495238095239,-37.0,"(-48, -16]",Summer
-2860.8,-37.0,"(-48, -16]",Summer
665.6726190476184,-37.0,"(-48, -16]",Fall
1123.0061538461541,-37.0,"(-48, -16]",Summer
177.84666666666638,-37.0,"(-48, -16]",Summer
-997.6257232673497,-37.0,"(-48, -16]",Spring
118.68444420958168,-37.0,"(-48, -16]",Winter
-1886.3450292397656,-37.0,"(-48, -16]",Winter
1455.913461538462,-36.0,"(-48, -16]",Winter
469.5454545454545,-36.0,"(-48, -16]",Fall
-1524.9206349206347,-36.0,"(-48, -16]",Spring
2982.694117647058,-36.0,"(-48, -16]",Summer
-2472.153343413699,-36.0,"(-48, -16]",Winter
3157.875879532397,-36.0,"(-48, -16]",Winter
-2219.661946613333,-36.0,"(-48, -16]",Spring
-5113.727272727273,-36.0,"(-48, -16]",Spring
-5052.611940656332,-36.0,"(-48, -16]",Summer
3700.397476412778,-36.0,"(-48, -16]",Winter
1294.0,-36.0,"(-48, -16]",Summer
2505.09,-36.0,"(-48, -16]",Winter
-2375.253205128205,-36.0,"(-48, -16]",Summer
156.1538461538457,-36.0,"(-48, -16]",Summer
-3477.5666666666657,-36.0,"(-48, -16]",Summer
-5145.40909090909,-36.0,"(-48, -16]",Spring
-494.37215050812256,-36.0,"(-48, -16]",Fall
2061.592851561641,-36.0,"(-48, -16]",Winter
-303.91666666666697,-36.0,"(-48, -16]",Fall
-4391.412307692307,-36.0,"(-48, -16]",Fall
1708.315019835762,-36.0,"(-48, -16]",Summer
-968.385714285715,-36.0,"(-48, -16]",Fall
-3791.81,-36.0,"(-48, -16]",Fall
-2188.0550000000007,-36.0,"(-48, -16]",Fall
-1147.0213903743318,-36.0,"(-48, -16]",Winter
-547.6826923076924,-36.0,"(-48, -16]",Summer
-3497.892647511262,-36.0,"(-48, -16]",Fall
-368.04444444444465,-36.0,"(-48, -16]",Fall
29.324500867989173,-36.0,"(-48, -16]",Winter
-472.62132426731796,-36.0,"(-48, -16]",Winter
-5213.22781116901,-36.0,"(-48, -16]",Fall
1595.3529411764707,-36.0,"(-48, -16]",Fall
-1215.4753846153844,-35.0,"(-48, -16]",Fall
1347.2521739130434,-35.0,"(-48, -16]",Fall
